,count,mean,std,min,25%,50%,75%,max
CPIAUCSL,3963.0,254.41471877365632,28.505163762602834,217.199,233.69710869565222,244.243,266.57806521739127,317.604
CPILFESL,3963.0,258.77190184203886,29.290257520408062,220.633,234.9495652173913,251.985,273.61215217391305,323.259
PCEPI,3963.0,103.1521527882917,9.830680436010502,90.134,96.1123260869565,99.803,107.60573913043478,124.979
FEDFUNDS,3963.0,1.241896290688872,1.7191368651456342,0.05,0.094090909090909,0.19,1.8676623376623376,5.33
M1SL,3963.0,7922.659841029524,7414.093137440435,1674.7,2644.9217391304346,3570.0,18012.94466403162,20749.4
M2SL,3963.0,14676.097514509209,4459.6238478964115,8477.7,10986.906521739129,13643.1,20168.830434782612,21786.8
UNRATE,3963.0,5.78033055765834,2.1957829255970753,3.4,3.9,4.990476190476191,7.5390476190476186,14.8
CIVPART,3963.0,62.91323492303811,0.8095955815063482,60.1,62.59315217391304,62.84761904761905,63.3,65.2
AWHAETP,3963.0,34.449810749432245,0.16866733949667984,33.8,34.37619047619047,34.40909090909091,34.5,35.0
INDPRO,3963.0,99.19363171839515,3.36319460263609,84.5619,98.16269025974026,100.11493636363636,101.21428260869564,104.1004
DCOILWTICO,3962.0,72.03450025239778,21.457485696981582,-36.98,53.2425,73.08500000000001,89.4825,123.64
PPIACO,3963.0,211.15056548069643,26.058597881475535,181.0,193.5666996047431,201.8090909090909,217.83695652173913,280.251
A191RL1Q225SBEA,3963.0,2.588859449911683,4.5777218606782935,-28.0,1.7212121212121214,2.609090909090909,3.5,34.9
PMAT.WTI,3963.0,92.50613465371123,12.038078677572168,75.45483494300993,83.36062211466073,91.69968814946928,98.6231972250717,147.42577458151382
PMAT.FOOD,3963.0,116.62952261507081,7.3765264451533366,104.17587566594564,109.8672944750843,117.57989391290516,121.77272684046386,131.15533214545263
PMAT.METAL,3963.0,120.96137443643217,9.055217821670455,108.34727344720667,114.51211811193343,121.32605965303294,123.80028484492624,161.06995556585227
